brand,name,rating,reviews,_source,_data_coleta,old_price,new_price
ADVANCED,Kit 3 Tênis Masculino Esportivo Corrida Academia Confortável,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.9,269.91
FILA,Tênis Fila Kr6 Preto E Branco Corrida Macio - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,599.99,58.17
OLYMPIKUS,Olympikus Casual Jogging 101 Masculino Adultos,4.6,1694,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.99,19.44
OLDSEN,Tenis Masculino Lançamento Original Confortavel Tecido 38-45,4.3,568,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.95,75.29
PUMA,Tênis Puma Skyrocket Lite Masculino Academia Pro Corrida Run,4.8,455,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,499.99,259.99
OLYMPIKUS,Tênis Esportivo Olympikus Estilo 2 Preto Masculino Original,4.9,7,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,269.9,33.74
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Starlight,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,249.99,31.25
FILA,Tênis Fila  Adr Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,324.99
ADVANCED,Kit 3 Tênis Masculino Esportivo Corrida Academia Confortável,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.9,269.91
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,4.6,78,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,134.9,33.72
OLYMPIKUS,Tênis Masculino Versa Com Sola Caixa Olympikus,4.8,976,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,259.99,219.99
VIA LIVRE,Tênis Masculino Corrida Advanced Aero Academia Leve Macio,4.4,43,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,79.9,26.63
MIZUNO,Mizuno Wave Way 3 Masculino Adultos,4.7,281,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,349.9,34.99
EVER WAY,Tênis De Caminhada Confortável Detalhes Em Couro Legitimo,4.4,310,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
MARATHON,Tênis Esportivo Corrida Marathon Flex Amortecedor Mola Leve,4.0,23,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.9,77.96
OLYMPIKUS,Tênis Masculino Olympikus Diffuse 5 Original Esportivo,4.9,125,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.99,284.99
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,4.4,1886,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,188.9,179.45
SAPATOFRAN,Sapatênis Masculino Sola Baixa Super Barato Básico Promoção,4.2,73,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,54.99,44.99
OLYMPIKUS,Tênis Olympikus Proof 3 Caminhada Treino Corrida Academia,4.6,194,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.9,33.32
OLYMPIKUS,Tenis Masculino Corrida Olimpicos Soma Amortecedor Impacto,4.6,245,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,225.9,21.96
ADVANCED,Kit Tênis Masculino Esportivo Academia Confortável Macio,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,249.9,212.41
POLO JOY,Tenis Meia Polo Joy Masculino Caminhada Original Confortavel,4.8,72,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,129.99,116.99
